source_path_internal,source_sha256,vetted_source_path_internal,vetted_source_sha256,release_path,release_sha256,language,scientific_role,inclusion_status,reason
<PROJECT_ROOT>/000 GEE Data/13 全球地形与地貌背景数据 （已下载）/00_GEE_scripts_15_batches/13B_EXPORT_MERIT_Topography_g005_10deg_land368_batch01_of_15_v03.txt,3635e5736865c4352c282620a9eb33374420d459cecbcca3e4647bcf112eb41b,<PROJECT_ROOT>/000 GEE Data/13 全球地形与地貌背景数据 （已下载）/00_GEE_scripts_15_batches/13B_EXPORT_MERIT_Topography_g005_10deg_land368_batch01_of_15_v03.txt,3635e5736865c4352c282620a9eb33374420d459cecbcca3e4647bcf112eb41b,code/01_acquisition/Data13_MERIT_representative_batch_export.js,3635e5736865c4352c282620a9eb33374420d459cecbcca3e4647bcf112eb41b,js,Representative MERIT topography export batch definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/14 ERA5-Land 大气干旱 VPD(已下载)/Data14_ERA5Land_VPD_g005_2001_2024_ALL_YEARS_ONE_SCRIPT_60band_v04.txt,af67b1ac64c0f8fbb73b1db2e8da9f60d8a7a76d220e20f698618d2b2dc90720,<PROJECT_ROOT>/000 GEE Data/14 ERA5-Land 大气干旱 VPD(已下载)/Data14_ERA5Land_VPD_g005_2001_2024_ALL_YEARS_ONE_SCRIPT_60band_v04.txt,af67b1ac64c0f8fbb73b1db2e8da9f60d8a7a76d220e20f698618d2b2dc90720,code/01_acquisition/Data14_ERA5Land_VPD_export.js,af67b1ac64c0f8fbb73b1db2e8da9f60d8a7a76d220e20f698618d2b2dc90720,js,ERA5-Land daily-derived VPD acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/15 ERA5-Land 动态土壤水分 （已下载）/Data15_ERA5Land_dynamic_soil_moisture_g005_2001_2024_ALL_YEARS_ONE_SCRIPT_96band_v02.txt,c7c2026686f635734f16403cb55d2328c02f39a0a97d856680a1719beefb7ee8,<PROJECT_ROOT>/000 GEE Data/15 ERA5-Land 动态土壤水分 （已下载）/Data15_ERA5Land_dynamic_soil_moisture_g005_2001_2024_ALL_YEARS_ONE_SCRIPT_96band_v02.txt,c7c2026686f635734f16403cb55d2328c02f39a0a97d856680a1719beefb7ee8,code/01_acquisition/Data15_ERA5Land_soil_moisture_export.js,c7c2026686f635734f16403cb55d2328c02f39a0a97d856680a1719beefb7ee8,js,ERA5-Land dynamic soil-moisture acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/16 Intact Forest Landscapes 完整森林景观（已下载--源文件处理）/测试/Data16_DOWNLOAD_Official_IFL_GeoPackage_2000_2025_v01.txt,5c6e0f1dcca0bb2572456f0307165d319f354c29ba2bcfa3fa5eccef1f846202,<PROJECT_ROOT>/000 GEE Data/16 Intact Forest Landscapes 完整森林景观（已下载--源文件处理）/测试/Data16_DOWNLOAD_Official_IFL_GeoPackage_2000_2025_v01.txt,5c6e0f1dcca0bb2572456f0307165d319f354c29ba2bcfa3fa5eccef1f846202,code/01_acquisition/Data16_IFL_download_notes.txt,211919aaa177652f94820e2d4e951873cb773ef78cc194c17cfc9cb1f9a17632,txt,Recorded official IFL GeoPackage acquisition notes,INCLUDED,"Portability-only edit: replaced a local absolute root with a runtime environment variable; scientific formulas, constants, filters and estimands were unchanged."
<PROJECT_ROOT>/000 GEE Data/16 Intact Forest Landscapes 完整森林景观（已下载--源文件处理）/Data16_IFL_Global_Production_v01.py,48005ceac094752b05da1f57c47ad73a9085e9680693f64fe50218ed9ac2dd24,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/02_domain/SC066_Data16_IFL_Global_Production_v01.py,4a9a0a7c8a9e8f1db4ad02802433cbaa9ed2d41f3a1e913986ed5bcd78b8447c,code/02_harmonization/Data16_IFL_Global_Production_v01.py,4a9a0a7c8a9e8f1db4ad02802433cbaa9ed2d41f3a1e913986ed5bcd78b8447c,py,"IFL GeoPackage validation, rasterization and aggregation",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0008B_FAST_PAPER_Global_Production/build_global_inputs.py,2a147e4201af46f8a95311531528ddd32dc8a8a7d2b9a1b6adeae792e13ddc17,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/02_domain/SC052_build_global_inputs.py,7efaf82195ac4e78ec1467bc8c9df25886eac44eb398310d5c7e25b694033dd1,code/02_harmonization/build_global_inputs.py,7efaf82195ac4e78ec1467bc8c9df25886eac44eb398310d5c7e25b694033dd1,py,"Spatial harmonization, 0.5-degree inputs and forest-domain construction",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0004_Three_Region_Benchmark_Dynamics/task0004_lib.py,4177c8ed2a0404de48723a6483b3dc70eab2a6569129dd4a68f89ed58cdbc841,<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0004_Three_Region_Benchmark_Dynamics/task0004_lib.py,4177c8ed2a0404de48723a6483b3dc70eab2a6569129dd4a68f89ed58cdbc841,code/02_harmonization/task0004_lib.py,9f599349829a3abba9fa6d3322b9dfb82ba18b3cbd752989b863b882c72f4ade,py,"Shared grid, Zarr, parquet and spatial-block utilities required by the global pipeline",INCLUDED,"Portability-only edit: replaced a local absolute root with a runtime environment variable; scientific formulas, constants, filters and estimands were unchanged."
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0008A_FAST_PAPER_Input_Freeze_and_Pilot/task0008a_lib.py,53dc73731fb04c9e2193edd06fb4fca06b7ee0fa402d6337b66ed4ca81cfb2d1,<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0008A_FAST_PAPER_Input_Freeze_and_Pilot/task0008a_lib.py,53dc73731fb04c9e2193edd06fb4fca06b7ee0fa402d6337b66ed4ca81cfb2d1,code/02_harmonization/task0008a_lib.py,a991bb21245181f1443d0700448bfc01a4371b17469551ce0470c98b80c963e9,py,Shared global-input alignment and holdout-access utilities required by build_global_inputs.py,INCLUDED,"Portability-only edit: replaced a local absolute root with a runtime environment variable; scientific formulas, constants, filters and estimands were unchanged."
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010A_Global_Drought_Recovery_Consensus/task0010a_monthly.py,e17fe2f217e385760ca6b46aa5f35732ecc83e108d8497fd282cfd4b7c8652c2,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/01_preprocessing/SC006_task0010a_monthly.py,df0e3e7309d945f203a2732b4fe096b7015d3b28f2012ba672d589ae4d47a061,code/02_harmonization/task0010a_monthly.py,df0e3e7309d945f203a2732b4fe096b7015d3b28f2012ba672d589ae4d47a061,py,"Temporal harmonization, actual-date overlap weighting and monthly state construction",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010A_Global_Drought_Recovery_Consensus/task0010a_events.py,9d4a62fd47b7b045e7fdefd78345c44a1a18b84774a741373164f6664c569796,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/03_event_detection/SC003_task0010a_events.py,cffbd3f8d36e02b0a31a59980ea4177e8bfee5f0c64ce3d94cd3e94bae4f5eb3,code/03_event_detection/task0010a_events.py,cffbd3f8d36e02b0a31a59980ea4177e8bfee5f0c64ce3d94cd3e94bae4f5eb3,py,Frozen drought-event detection and original recovery implementation,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010C_Recovery_Logic_and_Application_Fix/task0010c_events.py,627777ba87b61f83049649901b6a46111fa2107f14ab73bae405953c34914c12,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/03_event_detection/SC014_task0010c_events.py,b67bf2c1faadf9f5f5805c65adf4a21153db50b37fecb04c170541c505d1643a,code/03_event_detection/task0010c_events.py,b67bf2c1faadf9f5f5805c65adf4a21153db50b37fecb04c170541c505d1643a,py,Corrected OLD/R1/R2 event recovery reconstruction and A/B/C screens,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010C_Recovery_Logic_and_Application_Fix/task0010c_core.py,2d0ea74489a9ce7f9a13382fc943506a6a3fcc9c9cb60b480adfe0798aa0586f,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/04_recovery/SC012_task0010c_core.py,cbaa72675ed87deac14d647d5c33ff2457310cbe57c02587dfdce35d12271fa4,code/04_recovery/task0010c_core.py,cbaa72675ed87deac14d647d5c33ff2457310cbe57c02587dfdce35d12271fa4,py,"Shared corrected recovery definitions, time boundaries, I/O and censoring helpers",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010E_Methods_Manuscript_Production/task0010e_persistence.py,9275ab851ceb9f8cedea8a10b68960aa0d9d58038781ff50c34d2e15db5d8676,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/09_sensitivity/SC021_task0010e_persistence.py,f68403953db522a5d004ee0b7b27f8c5bea9a6c4371f3f982c8cbd53270afe07,code/04_recovery/task0010e_persistence.py,f68403953db522a5d004ee0b7b27f8c5bea9a6c4371f3f982c8cbd53270afe07,py,"P1/P2 persistence sensitivity, calibration and locked estimands",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010A_Global_Drought_Recovery_Consensus/task0010a_models.py,5bdb53e1f8b06050c36723eea0af6b218845e181ec17b9f23a4aaaaddc3bf6b0,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/06_models/SC005_task0010a_models.py,c834c924b0f2a1f1c1ae1f2e8ac6e9fbfdf82762326e0905f25c2d51fcd83725,code/05_models/task0010a_models.py,c834c924b0f2a1f1c1ae1f2e8ac6e9fbfdf82762326e0905f25c2d51fcd83725,py,Original prospective/retrospective RF and hazard model pipeline,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010C_Recovery_Logic_and_Application_Fix/task0010c_models.py,bbc3c8e9b29df10a3b9a9effd3f62041b6d02feb45c4452225000f3f25b57d8f,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/06_models/SC015_task0010c_models.py,f52c7a368af20e09ff99b56a2a80e14bca6a1d4166bf3bf03563782a0ac2581e,code/05_models/task0010c_models.py,f52c7a368af20e09ff99b56a2a80e14bca6a1d4166bf3bf03563782a0ac2581e,py,Corrected prospective exact-duration and discrete-time hazard models,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0009B_Drought_Recovery_Validated_SPEI_Fire/audit_data22_data06.py,53f59ca274c7c8dce87eaf22fab966951b0728460e569e7beda433b5a4762a7b,<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0009B_Drought_Recovery_Validated_SPEI_Fire/audit_data22_data06.py,53f59ca274c7c8dce87eaf22fab966951b0728460e569e7beda433b5a4762a7b,code/06_validation/audit_spei_fire_inputs.py,6961ae373a5414bf652650b559c29c1501e0a235347c20d195727e85519c4d6b,py,Read-only SPEI and burned-area metadata/grid audit,INCLUDED,"Portability-only edit: replaced a local absolute root with a runtime environment variable; scientific formulas, constants, filters and estimands were unchanged."
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010C_Recovery_Logic_and_Application_Fix/finalize_task0010c.py,3eb06fe546e12c6c875e7ba7febbf4c03313ed089eb67fbb64ec98c01b7dd0cd,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/07_validation/SC009_finalize_task0010c.py,f6c8453c93f85e550329499b91e92e8f6e4c14e0d017bc6bd4376906ee45e09c,code/06_validation/finalize_task0010c.py,f6c8453c93f85e550329499b91e92e8f6e4c14e0d017bc6bd4376906ee45e09c,py,Corrected-result validation and integrity checks,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010E_Methods_Manuscript_Production/finalize_task0010e.py,e108067de0d05525580956514678e37ae4ffe6e50bbb077769d858945fadc0a2,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/07_validation/SC018_finalize_task0010e.py,ba24dce02c4aecbc747649f71b070c36aa2822dcb57fa19f7f4c8f5c3d5fe5c9,code/06_validation/finalize_task0010e.py,ba24dce02c4aecbc747649f71b070c36aa2822dcb57fa19f7f4c8f5c3d5fe5c9,py,P2 sensitivity validation and packaging checks,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010A_Global_Drought_Recovery_Consensus/task0010a_finalize.py,3bf31fd8c810e8e874c6d4b1ca44c655287d3ba1f960a9712046c49f0a853402,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/07_validation/SC004_task0010a_finalize.py,e1e73f87342814836c732d282d60455a7171d3948405722dc0b797052bad46a8,code/06_validation/task0010a_finalize.py,e1e73f87342814836c732d282d60455a7171d3948405722dc0b797052bad46a8,py,"Original run validation, claim checks and release summaries",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010A_Global_Drought_Recovery_Consensus/task0010a_validate.py,eadf2f4b47a7647f32122f2c0d05b32008b2c8bf656669463d921d36815a8cb6,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/07_validation/SC008_task0010a_validate.py,ad8305547652ec64499cf3c77bd5856336382bf873d395f12f2a534b1bb796cd,code/06_validation/task0010a_validate.py,ad8305547652ec64499cf3c77bd5856336382bf873d395f12f2a534b1bb796cd,py,Frozen input/output and Amazon limitation validation,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010C_Recovery_Logic_and_Application_Fix/task0010c_dryrun.py,28977102a37d717113542306edc9b31b6ee31e6fe96a39cd81a41521cc72b59e,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/07_validation/SC013_task0010c_dryrun.py,9cc3fa9e76b5c928fd4e77a74e5ef5c6089011daadfe523b97f9205215a8019c,code/06_validation/task0010c_dryrun.py,9cc3fa9e76b5c928fd4e77a74e5ef5c6089011daadfe523b97f9205215a8019c,py,Feature information-boundary and corrected recovery unit tests,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/010_Research_Workbench/02_Runs/RUN_0010C_Recovery_Logic_and_Application_Fix/task0010c_consensus.py,46f2df1c29fb0fbbd8bc464ec9a30e8fc7e50cd18afd105c11dc2fc887fb8b6a,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/08_estimands/SC011_task0010c_consensus.py,1aa4313af323890dbac591751b929d3242cd0606203d4f11e6cc96cffc2a0286,code/07_estimands/task0010c_consensus.py,1aa4313af323890dbac591751b929d3242cd0606203d4f11e6cc96cffc2a0286,py,"Enrichment estimands, 5-degree bootstrap, functional/fire and evidence-group analyses",INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FINAL_S1_FigS1_Nature_final_v03.m,2c74be09c9ddaacc75b62d0cf0783b2ce8cf5db15ab147c246a83d3ce74340a7,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FINAL_S1_FigS1_Nature_final_v03.m,2c74be09c9ddaacc75b62d0cf0783b2ce8cf5db15ab147c246a83d3ce74340a7,code/09_figures/ExtendedDataFig1_Nature_final_v03.m,2c74be09c9ddaacc75b62d0cf0783b2ce8cf5db15ab147c246a83d3ce74340a7,m,Active Extended Data Fig. 1 renderer,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FINAL_S2_FigS2_Nature_final_v03_editable.m,de1d64f666811171b71676b49465f69743fd7fd2b8d260f0c01a061098f40508,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FINAL_S2_FigS2_Nature_final_v03_editable.m,de1d64f666811171b71676b49465f69743fd7fd2b8d260f0c01a061098f40508,code/09_figures/ExtendedDataFig2_Nature_final_v03.m,de1d64f666811171b71676b49465f69743fd7fd2b8d260f0c01a061098f40508,m,Active Extended Data Fig. 2 renderer,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FigS3_Nature_final_v02.m,4211f2c554971340d3445168b1294028b1073883137b42a69d96c5a1a9fc9c3d,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FigS3_Nature_final_v02.m,4211f2c554971340d3445168b1294028b1073883137b42a69d96c5a1a9fc9c3d,code/09_figures/ExtendedDataFig3_Nature_final_v02.m,4211f2c554971340d3445168b1294028b1073883137b42a69d96c5a1a9fc9c3d,m,Active Extended Data Fig. 3 renderer,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FINAL_S4_FigS4_maps_final_v01.m,4bea875d4a3b78026099a1ea519e8afa09dbf2d1857348644dc277216b901e7f,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/10_figures_source_data/FINAL_S4_FigS4_maps_final_v01.m,4bea875d4a3b78026099a1ea519e8afa09dbf2d1857348644dc277216b901e7f,code/09_figures/ExtendedDataFig4_maps_final_v01.m,4bea875d4a3b78026099a1ea519e8afa09dbf2d1857348644dc277216b901e7f,m,Active Extended Data Fig. 4 map renderer,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
